0,1,2,3,4,5
"Dell 3501 Inspiron 15 Laptop (11th Gen Intel Core i3/8GB/256GB SSD/Windows 10/MSO/Full HD), 39.62 cm (15.6 inch)",Intel Core i3 11th Gen 1115G4 Processor, 8 GB, Windows 10,256 gb ssd,45199
"HP 16d0300TX Victus Gaming Laptop (11th Gen Intel Core i5-11400H/8GB/512GB SSD/4GB Nvidia GeForce GTX 1650 Graphics/Windows 10/MSO/FHD), 40.9 cm (16.1 inch)",11th Gen Intel Core i5-11400H Processor, 8 GB, Windows 10 Home 64 Single Language,512 gb ssd,68997
"HP 16d0005TX Victus Gaming Laptop (11th Gen Intel Core i7-11800H/16GB/512GB SSD/4GB Nvidia GeForce RTX 3050 Graphics/Windows 10/MSO/FHD), 40.9 cm (16.1 inch)",11th Gen Intel Core i7-11800H Processor, 16 GB, Windows 10 Operating System,512 gb ssd,94997
"HP 15-ec2008AX Pavilion Gaming Laptop (AMD Ryzen 5-5600H/8GB/512GB SSD/4GB Nvidia GeForce GTX 1650 Graphics/Windows 10/MSO/FHD), 39.62 cm (15.6 inch)",Free upgrade to Windows 11* when available, 8GB, Windows 10,512 gb ssd,68997
"Asus K6464TS ROG Flow X13 Gaming Laptop (AMD Ryzen 9-5900HS/16GB/1TB SSD/4GB Nvidia GeForce GTX 1650 Graphics/Windows 10/MSO/WUXGA), 34.03 cm (13.4 inch)",Free upgrade to Windows 11* when available, 16 GB, Windows 10 Home,1 tb ssd,102900
"HP 15-DK1129TX Pavilion Gaming Laptop (10th Gen Intel Core i5-10300H/8GB/1TB HDD + 256GB SSD/4GB Nvidia GeForce GTX 1650 Graphics/Windows 10/MSO/FHD), 39.6 cm (15.6 inch)",10th Gen Intel Core i5-10300H Processor, 8 GB, Windows 10 Home 64 PLUS,1 tb + 265 gb ssd,74999
"Lenovo CVIN IdeaPad Slim 3i Laptop (11th Gen Intel Core i5-1135G7/8GB/512GB SSD/Intel Iris Xe Graphics/Windows 10/MSO/FHD), 39.6 cm (15.6 inch)",Free upgrade to Windows 11* when available, 8 GB, Windows 10 Home 64,512 gb ssd,63190
"Asus EB562TS Laptop (11th Gen Intel Core i5-1135G7/8GB/512GB SSD Plus 32GB Optane/2GB Nvidia GeForce MX 330 Graphics/Windows 10/MSO/Full HD), 35.56 cm (14 inch)",Free upgrade to Windows 11* when available, 8 GB, Windows 10 Home,512 gb + 32 gb ssd,51990
"Asus BV301TS Laptop (10th Gen Intel Core i3-10110U/4GB/1TB HDD/Intel HD 520 Graphics/Windows 10/HD), 35.56 cm (14 inch)",Free upgrade to Windows 11* when available, 4 GB, Windows 10 Home,1 tb sata,30990
"Asus EK003W Laptop (Intel Celeron N4500/4GB/256GB SSD/Intel HD Graphics/Windows 11/Full HD), 35.56 cm (14 inch)",Intel Celeron N4500 Processor, 4GB, Windows 11,256 gb ssd,22990
